BodyLength,Wingspan,Weight,PlumageColorHead,PlumageColorBack,PlumageColorBelly,PlumageColorWings,PlumageColorTail,BeakLength,BeakWidth,BeakShape,BeakColor,LegLength,LegColor,FootType,EyeColor,DietType,FeedingBehavior,PreferredHabitat,GeographicalRange,MigratoryBehavior,BreedingSeason,NestType,ClutchSize,EggColor,IncubationPeriod,FledglingPeriod,SocialBehavior,FlightPattern,VocalizationType,SoundFrequency,TypicalActivityPeriod,Predators,Lifespan,SexualDimorphism,MoltFrequency,TarsusLength,WingShape,TailShape,ConservationStatus,TerritorialBehavior,MigrationDistance,ForagingHeight,WaterDependency,TemperaturePreference,ColorVision,NocturnalVision,HearingAcuity,OlfactoryAcuity,TouchSensitivity,PollinationRole,SeedDispersalRole,InterspecificInteraction,IntraspecificInteraction,LearningAbility,ToolUse,ParentalCareLevel,BathingBehavior,GroomingBehavior,FlightSpeed,SpeciesClass
5.21,9.746,5.815,8.831,1.58,2.257,6.399,3.746,7.541,4.286,6.873,6.159,0.464,6.207,7.303,5.363,3.516,7.503,8.817,6.65,0.748,5.999,4.714,3.859,0.647,7.069,5.403,3.54,0.595,0.482,7.812,2.769,7.956,1.75,4.143,7.434,0.783,5.983,4.891,5.72,8.724,7.963,4.972,7.372,1.151,No,Yes,8.027,9.378,2.027,8.74,8.122,7.139,3.319,0.045,4.456,7.167,7.826,7.316,4.245,4
2.275,2.496,6.104,1.692,0.856,2.056,0.11,1.277,8.491,5.665,2.743,0.644,8.432,6.536,9.184,2.524,2.057,1.593,1.956,0.285,0.419,0.05,3.079,5.871,9.668,6.117,9.31,6.863,3.791,3.037,2.14,4.588,4.308,5.636,8.308,7.028,9.099,6.517,1.401,2.407,9.625,1.72,6.076,1.7,4.698,No,No,7.697,3.453,9.622,3.646,6.354,7.772,6.739,2.824,5.807,2.852,3.478,6.132,4.471,4
5.927,1.357,5.936,9.536,1.82,7.886,8.658,4.401,5.786,1.107,1.676,2.019,3.397,7.759,4.138,1.325,2.436,8.463,1.263,0.202,3.937,9.707,1.711,3.206,7.195,8.524,2.736,4.951,4.05,3.933,1.272,4.234,2.747,0.849,9.866,1.376,0.686,1.523,3.863,6.517,4.2,6.242,4.834,4.271,9.558,No,Yes,9.736,1.89,8.232,0.263,2.389,3.796,3.149,5.075,4.251,4.682,0.966,9.572,9.364,5
6.022,6.402,3.772,2.884,8.638,4.623,2.129,1.352,9.475,8.545,0.727,3.805,7.483,6.711,8.819,3.392,6.39,3.22,3.005,4.704,4.823,7.117,2.961,3.03,4.982,1.31,5.831,5.778,1.072,3.753,4.411,0.632,8.176,2.057,1.379,9.901,1.899,0.434,5.146,1.285,4.82,3.608,2.147,6.961,9.822,Yes,Yes,9.689,2.686,3.896,0.168,8.634,8.433,0.997,6.761,4.675,4.749,6.081,6.774,4.162,3
7.816,8.374,0.155,4.262,8.726,2.452,1.046,7.11,5.689,0.559,2.437,4.115,7.497,8.494,3.859,5.201,9.612,3.275,1.908,5.489,7.8,5.069,7.356,8.22,3.604,2.455,0.962,1.098,7.966,5.735,1.403,1.174,5.588,2.558,9.039,3.142,7.341,0.011,0.432,0.936,2.28,3.659,2.161,5.607,7.501,No,No,2.598,2.396,8.99,6.029,8.851,3.259,3.426,0.555,6.317,2.686,8.38,9.903,3.365,4
6.687,1.059,1.069,8.362,9.269,2.906,0.692,1.352,0.002,0.287,4.858,7.379,3.737,1.621,5.909,5.007,7.524,4.715,8.817,1.837,4.936,1.156,8.584,0.661,0.534,4.178,6.848,6.657,0.543,9.533,9.795,5.335,5.581,2.368,0.9,0.165,3.334,7.849,0.001,6.385,0.425,9.662,2.86,4.987,7.356,No,Yes,2.762,7.035,7.174,1.185,4.606,0.235,6.835,4.966,4.897,3.904,1.662,7.057,9.782,5
7.294,9.131,5.356,7.142,7.655,2.826,0.223,4.75,9.292,7.72,6.524,7.951,1.894,7.824,3.544,4.584,5.502,3.406,6.476,8.518,5.67,7.276,2.417,4.722,6.734,9.111,7.971,8.602,2.766,2.553,3.794,1.256,3.821,8.321,1.838,3.747,5.602,4.873,8.753,4.927,8.999,4.466,6.208,9.245,5.609,No,Yes,7.964,7.086,2.348,1.515,1.101,7.551,7.617,7.544,4.153,2.894,5.934,2.418,1.018,0
3.964,9.011,4.616,1.662,5.24,4.465,8.889,2.091,6.119,2.885,6.972,5.787,5.774,4.958,2.772,7.536,1.016,8.214,5.653,4.59,0.023,8.773,6.131,3.855,6.717,4.366,6.464,1.168,5.151,5.067,5.409,3.29,1.682,5.527,9.847,3.932,6.796,6.885,5.089,5.81,5.859,6.039,8.844,6.447,3.594,No,No,2.936,1.669,7.57,3.096,4.294,9.03,1.153,3.72,8.316,5.996,1.984,6.713,1.377,5
0.604,2.884,9.361,4.988,6.225,4.769,0.831,3.073,4.305,2.141,4.244,2.764,6.604,1.658,7.71,0.184,0.971,0.822,3.226,8.699,8.839,0.556,1.236,6.208,7.159,1.779,8.668,8.822,8.776,2.062,1.031,7.589,1.412,6.764,6.001,5.565,9.19,8.287,9.705,1.09,1.717,2.134,2.883,8.207,5.009,Yes,Yes,3.824,9.361,0.714,9.178,2.038,5.349,2.523,7.196,8.44,5.711,4.094,0.933,7.057,3
6.402,7.049,3.707,2.894,6.901,6.714,2.889,1.93,6.198,2.032,9.009,2.721,0.368,8.917,9.313,5.81,0.334,1.372,9.9,1.831,9.022,4.47,1.828,0.21,3.525,2.882,1.658,7.381,3.718,6.147,2.968,3.856,9.988,5.307,0.807,3.251,5.669,3.274,9.956,9.447,1.422,3.277,7.029,8.274,8.707,Yes,Yes,4.392,3.57,7.395,8.051,8.527,8.859,9.602,6.416,8.017,9.162,7.274,0.521,9.469,3
